epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6604,2.35016,3.59791,1.26385,0.50493,0.32674,0.31292,0.1269,2.19885,1.96178,1.22712,0.000195547,0.000195547,0.000195547
2,124.751,2.16679,2.18132,1.21218,0.57597,0.44713,0.45502,0.17878,2.1224,1.58554,1.20919,0.000383795,0.000383795,0.000383795
3,185.138,2.08899,1.7834,1.19343,0.59996,0.47626,0.4953,0.19239,2.13231,1.51744,1.2237,0.00056428,0.00056428,0.00056428
4,287.052,2.01619,1.55294,1.17284,0.58114,0.5407,0.55646,0.22593,2.0556,1.35873,1.19611,0.000553073,0.000553073,0.000553073
5,430.977,1.99201,1.44131,1.15729,0.62461,0.55214,0.57124,0.23326,2.03375,1.28853,1.18758,0.00054143,0.00054143,0.00054143
6,528.587,1.95634,1.3601,1.14177,0.66891,0.5518,0.58962,0.24097,2.03397,1.26771,1.1793,0.000529788,0.000529788,0.000529788
7,593.092,1.92559,1.29521,1.13695,0.63282,0.59295,0.59619,0.24385,2.00414,1.18604,1.16862,0.000518146,0.000518146,0.000518146
8,651.904,1.89276,1.24747,1.12727,0.73089,0.60043,0.62649,0.2587,2.00358,1.17034,1.16345,0.000506503,0.000506503,0.000506503
9,734.099,1.88365,1.20719,1.12079,0.69185,0.59886,0.64269,0.27451,1.9397,1.13414,1.1555,0.000494861,0.000494861,0.000494861
10,792.431,1.85011,1.17459,1.11474,0.67135,0.62588,0.64835,0.27318,1.95672,1.12257,1.16189,0.000483218,0.000483218,0.000483218
11,905.042,1.83626,1.14745,1.10829,0.77869,0.63275,0.6702,0.28671,1.93312,1.07673,1.1593,0.000471576,0.000471576,0.000471576
12,1007.48,1.82719,1.13118,1.10417,0.79658,0.63479,0.67652,0.29401,1.92638,1.07227,1.14716,0.000459934,0.000459934,0.000459934
13,1116.62,1.8153,1.10096,1.09999,0.78072,0.63213,0.66933,0.28553,1.92528,1.04595,1.1438,0.000448291,0.000448291,0.000448291
14,1220.4,1.79188,1.08494,1.09032,0.79598,0.62203,0.6652,0.2836,1.94037,1.05932,1.15847,0.000436649,0.000436649,0.000436649
15,1296.63,1.77597,1.06428,1.0853,0.79614,0.65051,0.68785,0.29379,1.90737,1.03582,1.13923,0.000425006,0.000425006,0.000425006
16,1356.08,1.76385,1.05503,1.08225,0.78203,0.64966,0.68585,0.2936,1.92147,1.02073,1.14309,0.000413364,0.000413364,0.000413364
17,1416.8,1.76491,1.0324,1.08061,0.79739,0.6526,0.69129,0.30109,1.90835,1.00324,1.14509,0.000401722,0.000401722,0.000401722
18,1476.07,1.74492,1.02179,1.07928,0.80962,0.65103,0.70231,0.30133,1.91503,1.0181,1.14579,0.000390079,0.000390079,0.000390079
19,1535.08,1.73469,1.01034,1.0716,0.80996,0.66725,0.7028,0.30433,1.89941,0.99108,1.13567,0.000378437,0.000378437,0.000378437
20,1600.63,1.71898,0.99599,1.06579,0.813,0.67998,0.7104,0.31795,1.88844,0.95847,1.13755,0.000366794,0.000366794,0.000366794
21,1708.09,1.70585,0.97785,1.06248,0.83565,0.67643,0.71868,0.31865,1.89215,0.96168,1.13404,0.000355152,0.000355152,0.000355152
22,1769.12,1.69766,0.97026,1.06084,0.82786,0.67764,0.71812,0.31544,1.90221,0.96089,1.1384,0.00034351,0.00034351,0.00034351
23,1828.53,1.67112,0.9495,1.05114,0.82331,0.68734,0.71651,0.31638,1.89617,0.96328,1.13682,0.000331867,0.000331867,0.000331867
24,1887.77,1.67819,0.94222,1.05602,0.83515,0.68883,0.72843,0.32138,1.87897,0.94337,1.13446,0.000320225,0.000320225,0.000320225
25,1962.76,1.65814,0.93194,1.04851,0.83568,0.67796,0.72447,0.32318,1.87934,0.94341,1.13239,0.000308582,0.000308582,0.000308582
26,2096.39,1.65496,0.92531,1.04382,0.86163,0.68683,0.73691,0.32789,1.87058,0.92885,1.12533,0.00029694,0.00029694,0.00029694
27,2185.59,1.64586,0.90681,1.04109,0.83348,0.70683,0.73784,0.33096,1.8867,0.92116,1.1284,0.000285298,0.000285298,0.000285298
28,2258.48,1.64007,0.90733,1.03922,0.8513,0.6862,0.72875,0.32008,1.89296,0.93213,1.1358,0.000273655,0.000273655,0.000273655
29,2475.82,1.61974,0.88909,1.03432,0.84751,0.68728,0.73598,0.32309,1.88688,0.92442,1.13806,0.000262013,0.000262013,0.000262013
30,2700.02,1.60804,0.88095,1.0311,0.83992,0.70231,0.74212,0.33139,1.87394,0.91143,1.13111,0.00025037,0.00025037,0.00025037
31,2801.95,1.60561,0.87565,1.03025,0.85878,0.69497,0.73574,0.32578,1.88264,0.91389,1.13369,0.000238728,0.000238728,0.000238728
32,2864.33,1.58694,0.86727,1.02411,0.84568,0.70142,0.73753,0.33162,1.88253,0.90631,1.13142,0.000227086,0.000227086,0.000227086
33,2922.94,1.59226,0.86478,1.02516,0.85286,0.69678,0.74118,0.3328,1.86518,0.90014,1.12375,0.000215443,0.000215443,0.000215443
34,2993.29,1.58188,0.85326,1.02284,0.85454,0.70609,0.7481,0.33426,1.86745,0.90193,1.12856,0.000203801,0.000203801,0.000203801
35,3053.29,1.56524,0.84128,1.01908,0.86705,0.69866,0.74331,0.33288,1.87786,0.89648,1.1296,0.000192158,0.000192158,0.000192158
