epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3463,1.66589,4.00928,1.10467,0.01974,0.04741,0.02138,0.01475,1.55268,3.5836,1.00431,0.0672219,9.86301e-05,9.86301e-05
2,26.9067,1.50377,3.00671,1.02718,0.2781,0.06793,0.07601,0.05016,1.51326,2.70504,0.98989,0.0339861,0.000196172,0.000196172
3,40.6281,1.44256,2.74583,1.00239,0.5626,0.08964,0.09444,0.06667,1.30575,2.19766,0.95532,0.00074786,0.000291239,0.000291239
4,53.8334,1.38593,2.52794,0.98316,0.62361,0.09958,0.11053,0.0785,1.2665,2.00947,0.94207,0.000288862,0.000288862,0.000288862
5,67.0126,1.35876,2.38585,0.97126,0.63511,0.11039,0.12462,0.09065,1.22438,1.88284,0.92966,0.00028515,0.00028515,0.00028515
6,79.9451,1.32581,2.25588,0.96282,0.74913,0.11859,0.13626,0.10048,1.19806,1.76261,0.9221,0.000281437,0.000281437,0.000281437
7,92.2943,1.29652,2.14458,0.94803,0.75642,0.12541,0.14691,0.10929,1.16985,1.69277,0.9149,0.000277725,0.000277725,0.000277725
8,103.719,1.27052,2.03567,0.94538,0.89096,0.13233,0.16864,0.1267,1.14723,1.6269,0.91052,0.000274012,0.000274012,0.000274012
9,114.265,1.26017,1.95283,0.93827,0.84031,0.14371,0.1807,0.13394,1.15399,1.54134,0.90815,0.0002703,0.0002703,0.0002703
10,124.693,1.21591,1.84302,0.93174,0.70326,0.16602,0.19281,0.14499,1.10951,1.47493,0.9007,0.000266587,0.000266587,0.000266587
11,135.236,1.24081,1.81334,0.93203,0.65991,0.17442,0.2011,0.1494,1.12534,1.43425,0.90222,0.000262875,0.000262875,0.000262875
12,145.322,1.2003,1.71878,0.92474,0.39634,0.19761,0.20771,0.15338,1.12637,1.42019,0.90294,0.000259163,0.000259163,0.000259163
13,155.321,1.18418,1.66374,0.92298,0.31852,0.23158,0.22763,0.1724,1.09087,1.37775,0.89772,0.00025545,0.00025545,0.00025545
14,165.287,1.18611,1.6316,0.92033,0.33633,0.20292,0.21181,0.15105,1.18267,1.35763,0.91258,0.000251737,0.000251737,0.000251737
15,175.077,1.16403,1.56418,0.9227,0.34591,0.24822,0.24544,0.18316,1.08162,1.30826,0.89334,0.000248025,0.000248025,0.000248025
16,184.728,1.17124,1.54879,0.91627,0.34703,0.27521,0.26566,0.19806,1.05575,1.27579,0.88814,0.000244312,0.000244312,0.000244312
17,194.436,1.15705,1.52947,0.91548,0.34509,0.28446,0.27873,0.20928,1.03694,1.25422,0.88539,0.0002406,0.0002406,0.0002406
18,204.088,1.1387,1.48676,0.91068,0.36134,0.31208,0.29546,0.22323,1.02687,1.22724,0.88355,0.000236887,0.000236887,0.000236887
19,213.676,1.13479,1.46377,0.9095,0.39405,0.33411,0.3071,0.23095,1.01691,1.19657,0.88076,0.000233175,0.000233175,0.000233175
